Data Set,Editscript A*,Editscript Quick,differ,clojure.data,deep-diff2
diff1-2,404,45,119,170,414
diff2-1,416,43,118,176,414
diff1-3,445,49,118,436,410
diff3-1,449,48,118,442,413
diff1-4,2827,115,49,1165,1219
diff4-1,1272,151,48,1203,531
diff2-3,435,47,120,360,422
diff3-2,433,47,117,352,412
diff2-4,2824,116,49,1101,1217
diff4-2,1272,152,48,1192,530
diff3-4,2830,116,49,1169,1224
diff4-3,1275,152,48,1178,537
